# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
6685,1777718248.6951406,10696000,-0.06274790316820145,0.018412062898278236,0.06258450448513031,0.019666576758027077,0.06248481571674347,0.019228924065828323,0.08481189608573914,0.22885830700397491
6686,1777718256.417874,10697600,-0.06274790316820145,0.018412062898278236,0.06295851618051529,0.016064876690506935,0.06248481571674347,0.019228924065828323,0.08481189608573914,0.22885830700397491
6687,1777718267.1700432,10699200,-0.06295719742774963,0.016606461256742477,0.06295851618051529,0.016064876690506935,0.06248481571674347,0.019228924065828323,0.08481189608573914,0.22885830700397491
6688,1777718270.1555738,10700800,-0.06295719742774963,0.016606461256742477,0.06304646283388138,0.0201344583183527,0.06248481571674347,0.019228924065828323,0.08481189608573914,0.22885830700397491
6689,1777718271.6293492,10702400,-0.06295719742774963,0.016606461256742477,0.06304646283388138,0.0201344583183527,0.06267841160297394,0.019309157505631447,0.08481189608573914,0.22885830700397491
6690,1777718275.0398185,10704000,-0.06317397952079773,0.018589958548545837,0.06304646283388138,0.0201344583183527,0.06267841160297394,0.019309157505631447,0.08481189608573914,0.22885830700397491
6691,1777718277.1581795,10705600,-0.06317397952079773,0.018589958548545837,0.06246055290102959,0.022553376853466034,0.06267841160297394,0.019309157505631447,0.08481189608573914,0.22885830700397491
6692,1777718278.103152,10707200,-0.06317397952079773,0.018589958548545837,0.06246055290102959,0.022553376853466034,0.06262639909982681,0.020082084462046623,0.08481189608573914,0.22885830700397491
6693,1777718278.3704095,10708800,-0.06317397952079773,0.018589958548545837,0.06246055290102959,0.022553376853466034,0.06262639909982681,0.019045572727918625,0.08481189608573914,0.22885830700397491
6694,1777718279.663727,10710400,-0.06317397952079773,0.018589958548545837,0.06246055290102959,0.022553376853466034,0.06262639909982681,0.019045572727918625,0.08474252372980118,0.2510643005371094
6695,1777718280.4082131,10712000,-0.062968909740448,0.015128452330827713,0.06246055290102959,0.022553376853466034,0.06262639909982681,0.019045572727918625,0.08474252372980118,0.2510643005371094
6696,1777718281.1609914,10713600,-0.062968909740448,0.015128452330827713,0.06256849318742752,0.01989826187491417,0.06262639909982681,0.019045572727918625,0.08474252372980118,0.2510643005371094
6697,1777718285.5496178,10715200,-0.062968909740448,0.015128452330827713,0.06256849318742752,0.01989826187491417,0.062342774122953415,0.02007908560335636,0.08474252372980118,0.2510643005371094
6698,1777718286.47989,10716800,-0.06282036006450653,0.019150877371430397,0.06256849318742752,0.01989826187491417,0.062342774122953415,0.02007908560335636,0.08474252372980118,0.2510643005371094
6699,1777718286.5722973,10718400,-0.06282036006450653,0.019150877371430397,0.06256849318742752,0.01989826187491417,0.062342774122953415,0.02007908560335636,0.08495025336742401,0.21673175692558289
6700,1777718286.6597593,10720000,-0.06282036006450653,0.019150877371430397,0.06256849318742752,0.01989826187491417,0.06229553744196892,0.022808102890849113,0.08495025336742401,0.21673175692558289
6701,1777718287.2384186,10721600,-0.06282036006450653,0.019150877371430397,0.06256849318742752,0.01989826187491417,0.06231509894132614,0.019896242767572403,0.08495025336742401,0.21673175692558289
6702,1777718288.830496,10723200,-0.06282036006450653,0.019150877371430397,0.06245657429099083,0.020960364490747452,0.06231509894132614,0.019896242767572403,0.08495025336742401,0.21673175692558289
6703,1777718292.8810203,10724800,-0.06282036006450653,0.019150877371430397,0.06228213012218475,0.01828635111451149,0.06231509894132614,0.019896242767572403,0.08495025336742401,0.21673175692558289
6704,1777718297.8784506,10726400,-0.06251110136508942,0.021310294046998024,0.06228213012218475,0.01828635111451149,0.06231509894132614,0.019896242767572403,0.08495025336742401,0.21673175692558289
6705,1777718301.5613074,10728000,-0.06288434565067291,0.015331677161157131,0.06228213012218475,0.01828635111451149,0.06231509894132614,0.019896242767572403,0.08495025336742401,0.21673175692558289
6706,1777718301.7569172,10729600,-0.06288434565067291,0.015331677161157131,0.06228213012218475,0.01828635111451149,0.062497276812791824,0.01949295587837696,0.08495025336742401,0.21673175692558289
6707,1777718303.298801,10731200,-0.06288434565067291,0.015331677161157131,0.06187821552157402,0.022379431873559952,0.062497276812791824,0.01949295587837696,0.08495025336742401,0.21673175692558289
6708,1777718303.755843,10732800,-0.06247829273343086,0.022053318098187447,0.06187821552157402,0.022379431873559952,0.062497276812791824,0.01949295587837696,0.08495025336742401,0.21673175692558289
6709,1777718306.9291017,10734400,-0.06247829273343086,0.022053318098187447,0.061962030827999115,0.01860583946108818,0.062497276812791824,0.01949295587837696,0.08495025336742401,0.21673175692558289
6710,1777718308.160748,10736000,-0.06247829273343086,0.022053318098187447,0.061962030827999115,0.01860583946108818,0.062497276812791824,0.01949295587837696,0.08514956384897232,0.2657153904438019
6711,1777718309.9789746,10737600,-0.06247829273343086,0.022053318098187447,0.061962030827999115,0.01860583946108818,0.06265180557966232,0.021666496992111206,0.08514956384897232,0.2657153904438019
6712,1777718311.790035,10739200,-0.062329214066267014,0.018225086852908134,0.061962030827999115,0.01860583946108818,0.06265180557966232,0.021666496992111206,0.08514956384897232,0.2657153904438019
6713,1777718314.4256072,10740800,-0.062329214066267014,0.018225086852908134,0.061962030827999115,0.01860583946108818,0.06265180557966232,0.021666496992111206,0.08517368882894516,0.37302643060684204
6714,1777718322.5022476,10742400,-0.062329214066267014,0.018225086852908134,0.061690863221883774,0.020146841183304787,0.06265180557966232,0.021666496992111206,0.08517368882894516,0.37302643060684204
6715,1777718324.1310325,10744000,-0.0618741400539875,0.017897991463541985,0.061690863221883774,0.020146841183304787,0.06265180557966232,0.021666496992111206,0.08517368882894516,0.37302643060684204
6716,1777718334.8837094,10745600,-0.0618741400539875,0.017897991463541985,0.061690863221883774,0.020146841183304787,0.06265180557966232,0.021666496992111206,0.08488757908344269,0.27961134910583496
6717,1777718335.2300625,10747200,-0.0618741400539875,0.017897991463541985,0.061690863221883774,0.020146841183304787,0.06272642314434052,0.01678323559463024,0.08488757908344269,0.27961134910583496
6718,1777718336.4731548,10748800,-0.0618741400539875,0.017897991463541985,0.061971526592969894,0.0198946725577116,0.06272642314434052,0.01678323559463024,0.08488757908344269,0.27961134910583496
6719,1777718337.8999343,10750400,-0.062115490436553955,0.017168249934911728,0.061971526592969894,0.0198946725577116,0.06272642314434052,0.01678323559463024,0.08488757908344269,0.27961134910583496
6720,1777718338.2277317,10752000,-0.062115490436553955,0.017168249934911728,0.061971526592969894,0.0198946725577116,0.06247060000896454,0.019909478724002838,0.08488757908344269,0.27961134910583496
6721,1777718340.6970174,10753600,-0.062115490436553955,0.017168249934911728,0.061971526592969894,0.0198946725577116,0.06247060000896454,0.019909478724002838,0.08551152795553207,0.4448528289794922
6722,1777718341.2244256,10755200,-0.062115490436553955,0.017168249934911728,0.062203798443078995,0.0199905913323164,0.06247060000896454,0.019909478724002838,0.08551152795553207,0.4448528289794922
6723,1777718342.4621515,10756800,-0.062115490436553955,0.017168249934911728,0.062203798443078995,0.0199905913323164,0.06170126423239708,0.02044132724404335,0.08551152795553207,0.4448528289794922
6724,1777718342.576078,10758400,-0.0619666650891304,0.018813952803611755,0.062203798443078995,0.0199905913323164,0.06170126423239708,0.02044132724404335,0.08551152795553207,0.4448528289794922
6725,1777718348.7658627,10760000,-0.0619666650891304,0.018813952803611755,0.062203798443078995,0.0199905913323164,0.06189056113362312,0.02155575156211853,0.08551152795553207,0.4448528289794922
6726,1777718349.1517348,10761600,-0.06236588954925537,0.01856893301010132,0.062203798443078995,0.0199905913323164,0.06189056113362312,0.02155575156211853,0.08551152795553207,0.4448528289794922
6727,1777718349.2092044,10763200,-0.06236588954925537,0.01856893301010132,0.06218961626291275,0.0187192615121603,0.06189056113362312,0.02155575156211853,0.08551152795553207,0.4448528289794922
6728,1777718350.129285,10764800,-0.06236588954925537,0.01856893301010132,0.06218961626291275,0.0187192615121603,0.06168825179338455,0.023530105128884315,0.08551152795553207,0.4448528289794922
6729,1777718350.9049077,10766400,-0.06236588954925537,0.01856893301010132,0.06218961626291275,0.0187192615121603,0.06181907653808594,0.019291501492261887,0.08551152795553207,0.4448528289794922
6730,1777718353.5792074,10768000,-0.06236588954925537,0.01856893301010132,0.06213055178523064,0.020980309695005417,0.06181907653808594,0.019291501492261887,0.08551152795553207,0.4448528289794922
6731,1777718353.8270962,10769600,-0.06236588954925537,0.01856893301010132,0.06184101104736328,0.0203989427536726,0.06181907653808594,0.019291501492261887,0.08551152795553207,0.4448528289794922
6732,1777718360.587201,10771200,-0.06147073581814766,0.019885964691638947,0.06184101104736328,0.0203989427536726,0.06181907653808594,0.019291501492261887,0.08551152795553207,0.4448528289794922
6733,1777718364.0564442,10772800,-0.0615709014236927,0.021817626431584358,0.06184101104736328,0.0203989427536726,0.06181907653808594,0.019291501492261887,0.08551152795553207,0.4448528289794922
6734,1777718364.885894,10774400,-0.06155962496995926,0.017744552344083786,0.06184101104736328,0.0203989427536726,0.06181907653808594,0.019291501492261887,0.08551152795553207,0.4448528289794922
